1,E05001673,11905
2,E05001430,23749
3,E05001398,18841
4,E05000995,11477
5,E05006307,3491
6,E05001403,16986
7,E05006254,2350
8,E05006296,1075
9,E05001044,27481
10,E05001045,36412
11,E05006236,2078
12,E05001446,16267
13,E05001460,15673
14,E05001723,12728
15,E05006336,4647
16,E05001766,4153
17,E05006276,3074
18,E05001456,15050
19,E05001061,19086
20,E05006259,5562
21,E05006306,3896
22,E05001055,18605
23,E05006212,1728
24,E05001367,14671
25,E05001022,11100
26,E05001342,18294
27,E05006357,3700
28,E05001358,21547
29,E05000979,10676
30,E05001047,23489
31,E05006346,4636
32,E05006202,3485
33,E05006326,2136
34,E05006323,4255
35,E05001010,15244
36,E05000983,9777
37,E05001380,15358
38,E05001689,13166
39,E05006197,2168
40,E05001409,19563
41,E05001050,18461
42,E05006223,1764
43,E05006190,1673
44,E05001009,13380
45,E05001054,16705
46,E05006224,3946
47,E05001052,18233
48,E05001062,18222
49,E05001347,23485
50,E05006359,3821
51,E05001356,16775
52,E05006350,4098
53,E05001761,3570
54,E05006221,4849
55,E05006203,3771
56,E05001714,11835
57,E05006333,4038
58,E05001745,8604
59,E05001722,12789
60,E05001422,24213
61,E05001741,8201
62,E05008560,18723
63,E05001436,21748
64,E05006274,1224
65,E05001449,15946
66,E05001003,18207
67,E05000996,9682
68,E05006209,2055
69,E05001712,15943
70,E05001364,19914
71,E05008558,18346
72,E05001410,19837
73,E05006328,2210
74,E05006317,4743
75,E05006210,1669
76,E05006297,2032
77,E05001743,12855
78,E05001056,21223
79,E05001035,11058
80,E05006266,5902
81,E05001042,16943
82,E05001396,17537
83,E05006228,1919
84,E05001443,19979
85,E05001439,20354
86,E05006310,1743
87,E05001034,13210
88,E05001365,20608
89,E05008936,12517
90,E05006214,4973
91,E05006201,3356
92,E05001682,8099
93,E05001362,15483
94,E05001724,7017
95,E05001754,4792
96,E05000993,10250
97,E05001399,18793
98,E05001036,11816
99,E05006349,5315
100,E05000986,10785
101,E05000989,11587
102,E05006189,3637
103,E05006244,6264
104,E05001725,7754
105,E05000980,10669
106,E05001381,11351
107,E05006272,5346
108,E05006232,5988
109,E05008561,16748
110,E05001742,11341
111,E05001441,21543
112,E05001346,21210
113,E05006339,3831
114,E05006327,4864
115,E05006352,1913
116,E05001699,4865
117,E05001040,18815
118,E05006205,3714
119,E05001424,27078
120,E05001708,9871
121,E05001459,15751
122,E05001752,9002
123,E05001450,15350
124,E05006270,3198
125,E05008562,16601
126,E05001706,9725
127,E05001718,10848
128,E05001751,2785
129,E05006265,6360
130,E05006252,3246
131,E05001444,16099
132,E05001032,11908
133,E05000982,11889
134,E05001428,21506
135,E05001750,9844
136,E05001392,16298
137,E05006200,3581
138,E05001696,10711
139,E05001350,17945
140,E05001763,13306
141,E05001426,18363
142,E05001748,3627
143,E05001697,10099
144,E05006267,3100
145,E05006251,6028
146,E05001681,11293
147,E05006196,1611
148,E05001698,15000
149,E05006305,4888
150,E05001012,11881
151,E05001669,8270
152,E05006294,2899
153,E05001031,11606
154,E05001385,12117
155,E05001425,22347
156,E05000994,11510
157,E05006250,5555
158,E05006230,1820
159,E05001417,24843
160,E05006312,1980
161,E05006239,2842
162,E05000977,10977
163,E05001002,14408
164,E05006320,2072
165,E05000999,12968
166,E05001011,13537
167,E05001369,14387
168,E05001427,20533
169,E05006233,1852
170,E05001719,11507
171,E05006304,3444
172,E05001000,15332
173,E05001400,20021
174,E05001372,12006
175,E05006281,1347
176,E05006273,1328
177,E05006358,6657
178,E05001368,16308
179,E05001664,13226
180,E05001464,14535
181,E05001730,8288
182,E05006246,3306
183,E05001680,14002
184,E05006285,1477
185,E05006234,2090
186,E05001030,13262
187,E05001363,17276
188,E05006293,2681
189,E05001746,3906
190,E05001688,10849
191,E05006286,1406
192,E05006242,6417
193,E05000988,10811
194,E05000991,11062
195,E05006195,3980
196,E05001728,12123
197,E05006280,1184
198,E05001431,21116
199,E05006204,4011
200,E05001418,22594
201,E05001753,12038
202,E05006225,3521
203,E05008935,10963
204,E05001740,11154
205,E05001397,16365
206,E05006198,3808
207,E05001028,12377
208,E05001435,22692
209,E05006321,4486
210,E05001039,19133
211,E05001025,11804
212,E05001674,9825
213,E05006217,3500
214,E05001387,12215
215,E05006322,5610
216,E05000985,10680
217,E05006337,4381
218,E05001413,22204
219,E05001014,16180
220,E05001359,19983
221,E05006218,1966
222,E05001048,16740
223,E05001376,12739
224,E05001667,10330
225,E05001693,17874
226,E05001760,12516
227,E05006262,5362
228,E05001046,17700
229,E05001020,12000
230,E05006194,3037
231,E05006277,3155
232,E05001382,11266
233,E05006348,3538
234,E05006282,5610
235,E05006302,3066
236,E05006335,3964
237,E05000984,11852
238,E05006213,4627
239,E05001416,21334
240,E05001383,12712
241,E05006340,3953
242,E05006243,5750
243,E05001756,3668
244,E05001678,11167
245,E05001384,11703
246,E05006332,4819
247,E05006356,4781
248,E05001341,15360
249,E05001375,11308
250,E05001744,8482
251,E05008559,17369
252,E05000978,10685
253,E05001463,15470
254,E05000997,15911
255,E05001734,11539
256,E05001683,8096
257,E05001440,22546
258,E05001423,19811
259,E05001702,16240
